Name,Area,Niche,Budget Tier,Price Point Requested,Confidence,Evidence Summary,Phone,WhatsApp,Email,Social,Decision Maker,Outreach Angle,Source Date,Reviewer Verdict,
Stone Construction Limited,"Kajjansi / Lutembe, Entebbe Road, Wakiso",Construction / Roofing,"Mid-Market ($1,500-$8,000)","$1,000 USD",Qualified,"Class A UNABCEC contractor; 23-acre facility; institutional USD contracts (WFP, WHO, USAID, Barclays); legacy HTML site stonecon.net",Not found,Not found,Not found,Not confirmed,Managing Director / Head of BD,In-person visit to Kajjansi site or website contact form pitch for site redesign,26/08/2026,Approved,
Terrain Group Uganda,"Plot 93, Lubowa, Lweza, Entebbe Road, Kampala",Civil Engineering / Design & Build,"Mid-Market+ ($3,000-$10,000+)","$1,000 USD",Qualified,6-country East Africa regional footprint; 3 specialized subsidiaries; INGO and donor client base; active corporate portal terraingroup.org,+256 414 200119 / +256 414 200942,Not found,info@terraingroup.org,Not confirmed,Managing Director / Head of BD,Direct corporate email + follow-up call highlighting NGO digital standards,26/08/2026,Approved,
Karkeit Services Limited,"Plot 469, Bukoto-Kisaasi Road, Bukoto, Kampala",Commercial Roofing & Facility Maintenance,"Established SME Top Tier ($1,000-$1,500)","$1,000 USD",Qualified,"Exclusive B2B commercial services (siphonic roof drainage, dilapidations); active WordPress site karkeit.com with paid Yoast SEO & Elementor",+256 761 793039 / +256 700 627205,+256 761 793039,Not found publicly,Not confirmed,Director / Operations Manager,WhatsApp pitch followed by call targeting social media lead acquisition,26/08/2026,Approved,Website
Spring Contractors Limited,"Rubaga, Kampala",Construction / Roofing,"Established SME Top Tier ($1,000-$1,500)","$1,000 USD",Qualified,"Turnkey construction scope (pools, roads, structural); modern WordPress site springcontractorslimited.com with paid AIOSEO & Tag Manager",Not found,Not found,Not found publicly,Facebook active,Director / Managing Partner,Facebook DM + in-person Rubaga office visit pitching social content management,26/08/2026,Approved,Site improve & Lead capture
Tilex Imports Limited,"Ntinda Complex, Ntinda-Nakawa Road, Kampala",Roofing Tile Importer / Distributor,"Established SME Top Tier ($1,000-$2,000)","$1,000 USD",Qualified,Sole Uganda importer of Tilcor NZ stone-coated tiles ($5k-$50k project orders); active FB showing Lubowa site installations; domain tilexug.com,+256 755 168 038 / +256 788 092 797,+256 755 168 038,Tilexug@hotmail.com,"Facebook, YouTube, LinkedIn",Director / Sales Manager,Direct WhatsApp pitch elevating social branding to match NZ tile tier,26/08/2026,Approved,Site improve & Lead capture
Depo Uganda (Depo Premium),"Plot 2A, Old Port Bell Road, Industrial Area, Kampala",Building Materials & Roofing Importer,Established SME / Mid-Market,"$1,000 USD",Qualified,20+ years operating; exclusive Austrian Decra Roofing distributor; prime Industrial Area showroom; runs roofing artisan training,+256 776 898888 / +256 758 853285,Not confirmed,sales@depo-uganda.net,Not confirmed,Sales Director / Managing Director,Industrial Area showroom visit or direct call to pitch architect-focused digital campaign,26/08/2026,Approved,"Website down, lead capture, URGENT"
East African Roofing Systems Ltd,"Plot 55-87 Movit Road, Zana, Entebbe Road, Wakiso",Roofing Materials Manufacturer,"Mid-Market ($2,000-$5,000)","$1,000 USD",Qualified,Tiger Brand manufacturer; Zana factory facility; nationwide dealer network; active corporate website earoofing.co.ug & WhatsApp line,+256 393 277 866 / +256 767 603 962,+256 741 053 146,sales@earoofing.co.ug,Facebook active,Sales Manager / Marketing Manager,Direct WhatsApp message or call to sales line for B2B contractor social strategy,26/08/2026,Approved,"Site improve & Lead capture, and Ecom style site, site nav assistant"
Seyani Brothers & Co. (U) Ltd,"Siyani Plaza, Ggaba Road, Nsambya, Kampala",Class A Construction Contractor,"Mid-Market+ ($5,000-$15,000+)","$1,000 USD",Qualified,"Class A UNABCEC contractor; owns Siyani Plaza Nsambya; project history with World Bank, AfDB, US Embassy, commercial banks",+256 414 266218 / +256 414 269640,Not found,sbcu@seyani.com,Not confirmed,Managing Director / Business Development Director,In-person Siyani Plaza meeting or formal email for donor pre-qualification pitch,26/08/2026,Approved,Site improve & lead capture
Abundant Properties Ug Ltd,"Wakaligga, Kampala",Commercial Construction & Real Estate,"Established SME Top Tier ($1,000-$1,500)","$1,000 USD",Qualified,Commercial build capability + real estate management; domain abundantpropertiesug.com; YouTube video tours & online inquiry forms,+256 784 945211 / +256 701 178481,+256 784 945211,info@abundantpropertiesug.com,YouTube active,CEO / Business Development Manager,WhatsApp or call pitching video content and commercial digital branding,26/08/2026,Approved,Site improve & lead capture
Roofings Group Uganda,"Plot 126, Lubowa Estate & Namanve Industrial Park, Kampala",Steel & Roofing Manufacturing Conglomerate,"Upper-Market / Enterprise ($10,000+)","$5,000 USD",Qualified,Uganda's dominant steel manufacturer; Lubowa & Namanve industrial plants; regional exporter; corporate accounts division,+256 312 340 100,+256 761 002 607,sales@roofings.co.ug,Facebook @RoofingsGroupUG,Marketing Manager / Corporate Sales Manager,Switchboard call to Marketing Manager pitching product launch social campaigns,26/08/2026,Approved,Site Improve
Ambitious Construction Company Limited,"Plot 1, Wankulukuku Road, Nalukolongo Industrial Area, Kampala",Civil Engineering & Construction Conglomerate,"Upper-Market / Enterprise ($5,000-$15,000+)","$1,000 USD",Qualified,"35 years operating (est. 1991); 1,500+ employees; Prayosha Group parent; contracts for MTN, Mulago Hospital, border posts; ambitiousconstruction.com",Not found publicly,Not found,ambitious@prayoshagroup.net,Not confirmed,Marketing Manager / PR Department,Formal email + Nalukolongo site visit pitching LinkedIn corporate positioning,26/08/2026,Approved,"Site improve & lead capture, site is slow"
